Year,Country,Measure,Age,Value
2007,Austria,KICTOTAL,TOT,960.00
2008,Austria,KICTOTAL,TOT,846.00
2009,Austria,KICTOTAL,TOT,931.00
2010,Austria,KICTOTAL,TOT,1036.00
2011,Austria,KICTOTAL,TOT,1206.00
2012,Austria,KICTOTAL,TOT,944.00
2013,Austria,KICTOTAL,TOT,1128.00
2014,Austria,KICTOTAL,TOT,1139.00
2015,Austria,KICTOTAL,TOT,1154.00
2016,Austria,KICTOTAL,TOT,1214.00
2017,Austria,KICTOTAL,TOT,1201.00
2018,Austria,KICTOTAL,TOT,1282.00
2019,Austria,KICTOTAL,TOT,1507.00
2007,Austria,PVTAA2,TOT,0.1
2008,Austria,PVTAA2,TOT,0.113
2009,Austria,PVTAA2,TOT,0.117
2010,Austria,PVTAA2,TOT,0.104
2011,Austria,PVTAA2,TOT,0.121
2012,Austria,PVTAA2,TOT,0.101
2013,Austria,PVTAA2,TOT,0.103
2014,Austria,PVTAA2,TOT,0.114
2015,Austria,PVTAA2,TOT,0.111
2016,Austria,PVTAA2,TOT,0.13
2017,Austria,PVTAA2,TOT,0.099
2018,Austria,PVTAA2,TOT,0.1
2019,Austria,PVTAA2,TOT,0.088
2007,Austria,PPPPRC,TOT,0.878301
2008,Austria,PPPPRC,TOT,0.872035
2009,Austria,PPPPRC,TOT,0.863791
2010,Austria,PPPPRC,TOT,0.856586
2011,Austria,PPPPRC,TOT,0.850842
2012,Austria,PPPPRC,TOT,0.855789
2013,Austria,PPPPRC,TOT,0.845407
2014,Austria,PPPPRC,TOT,0.845595
2015,Austria,PPPPRC,TOT,0.850461
2016,Austria,PPPPRC,TOT,0.832053
2017,Austria,PPPPRC,TOT,0.837481
2018,Austria,PPPPRC,TOT,0.827618
2019,Austria,PPPPRC,TOT,0.844934
2007,Austria,INCCTOTAL,TOT,24315.00
2008,Austria,INCCTOTAL,TOT,25489.00
2009,Austria,INCCTOTAL,TOT,26457.00
2010,Austria,INCCTOTAL,TOT,26777.00
2011,Austria,INCCTOTAL,TOT,27303.00
2012,Austria,INCCTOTAL,TOT,27206.00
2013,Austria,INCCTOTAL,TOT,28851.00
2014,Austria,INCCTOTAL,TOT,28660.00
2015,Austria,INCCTOTAL,TOT,28758.00
2016,Austria,INCCTOTAL,TOT,30517.00
2017,Austria,INCCTOTAL,TOT,30710.00
2018,Austria,INCCTOTAL,TOT,31517.00
2019,Austria,INCCTOTAL,TOT,32441.00
2007,Austria,GINIB,TOT,0.485
2008,Austria,GINIB,TOT,0.489
2009,Austria,GINIB,TOT,0.503
2010,Austria,GINIB,TOT,0.496
2011,Austria,GINIB,TOT,0.494
2012,Austria,GINIB,TOT,0.493
2013,Austria,GINIB,TOT,0.495
2014,Austria,GINIB,TOT,0.492
2015,Austria,GINIB,TOT,0.494
2016,Austria,GINIB,TOT,0.5
2017,Austria,GINIB,TOT,0.485
2018,Austria,GINIB,TOT,0.494
2019,Austria,GINIB,TOT,0.486
2007,Austria,PVTAA3,TOT,0.096
2008,Austria,PVTAA3,TOT,0.095
2009,Austria,PVTAA3,TOT,0.104
2010,Austria,PVTAA3,TOT,0.092
2011,Austria,PVTAA3,TOT,0.1
2012,Austria,PVTAA3,TOT,0.114
2013,Austria,PVTAA3,TOT,0.097
2014,Austria,PVTAA3,TOT,0.093
2015,Austria,PVTAA3,TOT,0.1
2016,Austria,PVTAA3,TOT,0.125
2017,Austria,PVTAA3,TOT,0.104
2018,Austria,PVTAA3,TOT,0.106
2019,Austria,PVTAA3,TOT,0.118
2007,Austria,SEICTOTAL,TOT,3102.00
2008,Austria,SEICTOTAL,TOT,3246.00
2009,Austria,SEICTOTAL,TOT,3576.00
2010,Austria,SEICTOTAL,TOT,3599.00
2011,Austria,SEICTOTAL,TOT,3709.00
2012,Austria,SEICTOTAL,TOT,3255.00
2013,Austria,SEICTOTAL,TOT,3552.00
2014,Austria,SEICTOTAL,TOT,3393.00
2015,Austria,SEICTOTAL,TOT,3603.00
2016,Austria,SEICTOTAL,TOT,3731.00
2017,Austria,SEICTOTAL,TOT,3746.00
2018,Austria,SEICTOTAL,TOT,3877.00
2019,Austria,SEICTOTAL,TOT,4014.00
2007,Austria,TRROTCTOTAL,TOT,239.00
2008,Austria,TRROTCTOTAL,TOT,222.00
2009,Austria,TRROTCTOTAL,TOT,232.00
2010,Austria,TRROTCTOTAL,TOT,269.00
2011,Austria,TRROTCTOTAL,TOT,270.00
2012,Austria,TRROTCTOTAL,TOT,238.00
2013,Austria,TRROTCTOTAL,TOT,272.00
2014,Austria,TRROTCTOTAL,TOT,248.00
2015,Austria,TRROTCTOTAL,TOT,294.00
2016,Austria,TRROTCTOTAL,TOT,301.00
2017,Austria,TRROTCTOTAL,TOT,308.00
2018,Austria,TRROTCTOTAL,TOT,287.00
2019,Austria,TRROTCTOTAL,TOT,250.00
2007,Austria,TRPOTCTOTAL,TOT,-225.00
2008,Austria,TRPOTCTOTAL,TOT,-221.00
2009,Austria,TRPOTCTOTAL,TOT,-245.00
2010,Austria,TRPOTCTOTAL,TOT,-236.00
2011,Austria,TRPOTCTOTAL,TOT,-262.00
2012,Austria,TRPOTCTOTAL,TOT,-257.00
2013,Austria,TRPOTCTOTAL,TOT,-260.00
2014,Austria,TRPOTCTOTAL,TOT,-284.00
2015,Austria,TRPOTCTOTAL,TOT,-320.00
2016,Austria,TRPOTCTOTAL,TOT,-346.00
2017,Austria,TRPOTCTOTAL,TOT,-345.00
2018,Austria,TRPOTCTOTAL,TOT,-342.00
2019,Austria,TRPOTCTOTAL,TOT,-312.00
2007,Austria,INCAC3,TOT,23620.00
2008,Austria,INCAC3,TOT,25156.00
2009,Austria,INCAC3,TOT,25579.00
2010,Austria,INCAC3,TOT,25710.00
2011,Austria,INCAC3,TOT,25234.00
2012,Austria,INCAC3,TOT,25218.00
2013,Austria,INCAC3,TOT,27361.00
2014,Austria,INCAC3,TOT,27144.00
2015,Austria,INCAC3,TOT,26742.00
2016,Austria,INCAC3,TOT,28525.00
2017,Austria,INCAC3,TOT,28670.00
2018,Austria,INCAC3,TOT,29332.00
2019,Austria,INCAC3,TOT,30411.00
2007,Austria,INCAC4,TOT,27713.00
2008,Austria,INCAC4,TOT,28617.00
2009,Austria,INCAC4,TOT,29668.00
2010,Austria,INCAC4,TOT,29607.00
2011,Austria,INCAC4,TOT,30419.00
2012,Austria,INCAC4,TOT,30298.00
2013,Austria,INCAC4,TOT,31627.00
2014,Austria,INCAC4,TOT,31788.00
2015,Austria,INCAC4,TOT,30838.00
2016,Austria,INCAC4,TOT,33648.00
2017,Austria,INCAC4,TOT,33500.00
2018,Austria,INCAC4,TOT,33613.00
2019,Austria,INCAC4,TOT,34964.00
2007,Austria,TRRCTOTAL,TOT,7928.00
2008,Austria,TRRCTOTAL,TOT,8530.00
